dksM la0,fooj.k,bdkbZ,nj
0038,Tractor with ripper attachment,day,1200.00
0039,Tractor with trolley,day,1200.00
0040,Air compressor 250 cfm with two leads for pneumatic cutters / hammers,day,1600.00
0041,Joint cutting machine with 2-3 blades,day,800.00
0100,Bandhani,day,714.00
0101,Bhisti,day,714.00
0103,Blacksmith 2nd class,day,714.00
0112,Carpenter 2nd class,day,714.00
0114,Beldar,day,645.00
0115,Coolie,day,645.00
0116,Fitter (grade 1),day,784.00
0117,Assistant Fitter or 2nd class Fitter,day,714.00
0123,Mason (brick layer) 1st class,day,784.00
0124,Mason (brick layer) 2nd class,day,714.00
0128,Mate,day,714.00
0130,Mistry,day,784.00
0139,Skilled Beldar (for floor rubbing etc.),day,714.00
0761,Fuel wood,quintal,500.00
0771,Kerosene oil,litre,50.00
2264,Carriage of Rubbish,cum,163.93
9977,Carriage,L.S.,2.12
9988,Carriage and sundries,L.S.,2.12
9999,Sundries,L.S.,2.12
0038,fjij;qDr VSDVj,fnu,1200-00
0039,Vªkyh;qDr VSDVj,fnu,1200-00
0040,"U;wesfVd dVj/gFkkSM+k ds fy, nks ysM~l;qDr ,;j daizs”kj 250 lh ,Q ,e",fnu,1600-00
0041,2&3 CysM okyk tksM+ dkVus okyh e”khu,fnu,800-00
0100,ca/kkuh,fnu,714-00
0101,fHkLrh,fnu,714-00
0103,Ykksgkj f}rh; Js.kh dk,fnu,714-00
0112,c<+bZ f}rh; Js.kh dk,fnu,714-00
0114,csynkj,fnu,645-00
0115,dqyh,fnu,645-00
0116,fQVj ¼xzsMI½,fnu,784-00
0117,lgk;d fQVj ;k f}rh; Js.kh dk fQVj,fnu,714-00
0123,jkt ¼bZaV jn~nk½ izFke Js.kh dk,fnu,784-00
0124,jkt ¼bZaV jn~nk½ f}rh; Js.kh dk,fnu,714-00
0128,esV,fnu,714-00
0130,feL=h,fnu,784-00
0139,"dq”ky csynkj ¼Q”kZ f?klkbZ vkfn ds fy,½",fnu,714-00
0761,bZa/ku ydM+h,fDoaVy,500-00
0771,feVV~h dk rsy,yhVj,50-00
2264,lyt dh <qykbZ,?ku eh-,163-93
9977,<qykbZ,",deq”r",2-12
9988,"<qykbZ ,oa fofo/k",",deq”r",2-12
9999,fofo/k,",deq”r",2-12
No.,,,
15.1,Demolishing lime concrete manually/ by mechanical means and disposal of material within 50 metres lead as per direction of Engineer- in-charge.,cum,701.95
15.2,Demolishing cement concrete manually/ by mechanical means including disposal of material within 50 metres lead as per direction of Engineer - in - charge.,,
,15.2.1 Nominal concrete 1:3:6 or richer mix (i/c equivalent design mix),cum,2007.10
,15.2.2 Nominal concrete 1:4:8 or leaner mix (i/c equivalent design mix),cum,1239.60
15.3,Demolishing R.C.C. work manually/ by mechanical means including stacking of steel bars and disposal of unserviceable material within 50 metres lead as per direction of Engineer - in- charge.,cum,2928.10
15.4,Demolishing R.B. work manually/ by mechanical means including stacking of steel bars and disposal of unserviceable material within 50 metres lead as per direction of Engineer-in- charge.,cum,2619.45
15.5,Extra for cutting reinforcement bars manually/ by mechanical means in R.C.C. or R.B. work (Payment shall be made on the cross sectional area of R.C.C. or R.B. work) as per direction of Engineer- in-charge.,sqm,947.10
15.6,"Extra for scrapping, cleaning and straightening reinforcement from R.C.C. or R.B. work.",kg,7.45
15.7,Demolishing brick work manually/ by mechanical means including stacking of serviceable material and disposal of unserviceable material within 50 metres lead as per direction of Engineer-in-charge.,,
,15.7.1 In mud mortar,cum,581.15
,15.7.2 In lime mortar with old mughal bricks,cum,1470.00
,15.7.3 In lime mortar,cum,701.95
,15.7.4 In cement mortar,cum,1698.45
15.8,Removing mortar from bricks and cleaning bricks including stacking within a lead of 50 m (stacks of cleaned bricks shall be measured):,,
,15.8.1 From brick work in mud mortar,1000 Nos,3839.15
,15.8.2 From brick work in lime mortar,1000 Nos,4414.15
,15.8.3 From brick work in cement mortar,1000 Nos,5522.25
15.9,Demolishing stone rubble masonry manually/ by mechanical means including stacking of serviceable material and disposal of unserviceable material within 50 metres lead as per direction of Engineer-in-charge :,,
,15.9.1 In lime mortar,cum,954.80
,15.9.2 In cement mortar,cum,2027.10
No.,,,
15.10,"Dismantling dressed stone work ashlar face stone work, marble work or precast concrete work manually/ by mechanical means including stacking of serviceable and disposal of unserviceable material within 50 metres lead as per direction of Engineer-in-charge :",,
,15.10.1 In lime mortar,cum,1207.25
,15.10.2 In cement mortar,cum,2372.30
15.11,Removing mortar from and cleaning stones and concrete articles (net quantity of stacks of cleaned materials will be measured):,,
,15.11.1 In lime mortar,cum,394.45
,15.11.2 In cement mortar,cum,568.15
15.12,"Dismantling doors, windows and clerestory windows (steel or wood) shutter including chowkhats, architrave, holdfasts etc. complete and stacking within 50 metres lead :",,
,15.12.1 Of area 3 sq. metres and below,each,302.70
,15.12.2 Of area beyond 3 sq. metres,each,414.55
15.13,"Taking out doors, windows and clerestory window shutters (steel or wood) including stacking within 50 metres lead :",,
,15.13.1 Of area 3 sq. metres and below,each,118.30
,15.13.2 Of area beyond 3 sq. metres,each,155.75
15.14,"Dismantling wood work in frames, trusses, purlins and rafters up to 10 metres span and 5 metres height including stacking the material within 50 metres lead :",,
,15.14.1 Of sectional area 40 square centimetres and above,cum,3674.50
,15.14.2 Of sectional area below 40 square centimetres,metre,14.70
15.15,"Extra for dismantling trusses, rafters, purlins etc. of wood work for every additional span of one metre or part thereof beyond 10 metres :",,
,15.15.1 Of sectional area 40 square centimetres and above,cum per metre span,487.95
,15.15.2 Of sectional area below 40 square centimetres,metre per metre span,1.35
15.16,"Extra for dismantling trusses, rafters, purlins etc. of wood work for every additional height of one metre or part thereof beyond 5 metres :",,
,15.16.1 Of sectional area 40 square centimetres and above,cum per metre span,708.30
,15.16.2 Of sectional area below 40 square centimetres,metre per metre span,2.80
15.17,Dismantling steel work in single sections including dismembering and stacking within 50 metres lead in:,,
,15.17.1 R.S. Joists,kg,2.80
,"15.17.2 Channels, angles, tees and flats",kg,1.90
No.,,,
15.18,"Dismantling steel work in built up sections in angles, tees, flats and channels including all gusset plates, bolts, nuts, cutting rivets, welding etc. including dismembering and stacking within 50 metres lead.",kg,4.65
15.19,Dismantling steel work manually/ by mechanical means in built up sections without dismembering and stacking within 50 metres lead as per direction of Engineer-in-charge.,kg,3.20
15.20,"Extra for dismantling trusses, rafters, purlins etc. of steel work for every additional span of one metre or part thereof beyond 10 metres",kg per metre span,0.70
15.21,"Extra for dismantling trusses, rafters, purlins etc. of steel work for every additional height of one metre or part thereof beyond 5 metres.",kg per metre height,0.70
15.22,Extra for marking of structural steel work required to be re-erected.,kg,3.80
15.23,Dismantling tile work in floors and roofs laid in cement mortar including stacking material within 50 metres lead.,,
,15.23.1 For thickness of tiles 10 mm to 25 mm,sqm,60.50
,15.23.2 For thickness of tiles above 25 mm and up to 40 mm,sqm,93.40
15.24,"Demolishing dry brick pitching in floors, drains etc. including stacking of serviceable material and disposal of unserviceable material within 50 metres lead :",cum,1086.45
15.25,Dismantling stone slab flooring laid in cement mortar including stacking of serviceable material and disposal of unserviceable material within 50 metres lead.,sqm,219.75
15.26,Demolishing brick tile covering in terracing including stacking of serviceable material and disposal of unserviceable material within 50 metres lead.,sqm,86.80
15.27,Demolishing mud phaska in terracing and disposal of material within 50 metres lead.,cum,753.75
15.28,"Dismantling roofing including ridges, hips, valleys and gutters etc., and stacking the material within 50 metres lead of:",,
,15.28.1 G.S. Sheet,sqm,136.00
,15.28.2 Asbestos Cement sheet,sqm,63.75
15.29,"Dismantling stone slab roofing over wooden karries or R.C.C. battens (dismantling karries and battens to be paid for separately), including stacking of serviceable material and disposal of unserviceable material within 50 metres lead.",cum,2197.55
15.30,Dismantling jack arch roofing and floors including stacking of serviceable material and disposal of unserviceable material within 50 metres lead.,sqm,209.40
15.31,"Dismantling tiled roofing with battens, boarding etc. complete including stacking of serviceable material and disposal of unserviceable material within 50 metres lead.",sqm,173.15
15.32,"Demolishing thatch roofing including mats, bamboo, jaffari etc. complete including stacking of serviceable material and disposal of unserviceable material within 50 metres lead.",sqm,47.65
No.,,,
15.33,Dismantling wooden ballies in posts and struts including stacking within 50metres lead.,metre,17.30
15.34,"Dismantling and stacking within 50 metres lead, fencing posts or struts including all earth work and dismantling of concrete etc. in base of:",,
,15.34.1 T' or 'L' iron or pipe,each,192.95
,15.34.2 R.C.C.,each,204.80
15.35,Cutting ballies or wooden posts of fencing at the point of projection above the concrete or ground and stacking the same within 50 metres lead.,each,11.80
15.36,Dismantling barbed wire or flexible wire rope in fencing including making rolls and stacking within 50 metres lead.,kg,30.35
15.37,Dismantling wooden trellis work excluding frames but including stacking the serviceable material within 50 metres lead.,sqm,53.50
15.38,Dismantling expanded metal or I.R.C. fabrics with necessary battens and beading including stacking the serviceable material within 50 metres lead.,sqm,62.50
15.39,"Dismantling wooden boardings in lining of walls and partitions, excluding supporting members but including stacking within 50 metres lead :",,
,15.39.1 Up to 10 mm thick,sqm,50.35
,15.39.2 Thickness above 10 mm up to 25 mm,sqm,64.15
,15.39.3 Thickness above 25 mm up to 40 mm,sqm,74.70
15.40,"Dismantling precast concrete or stone slabs in walls, partition walls etc. including stacking within 50 metres lead :",,
,15.40.1 Thickness up to 40 mm,sqm,238.65
,15.40.2 Thickness above 40 mm up to 75 mm,sqm,357.60
15.41,Dismantling cement asbestos or other hard board ceiling or partition walls including stacking of serviceable materials and disposal of unserviceable materials within 50 metres lead.,sqm,46.50
15.42,Dismantling C.I. or asbestos rain water pipe with fittings and clamps including stacking the material within 50 metres lead :,,
,15.42.1 75 to 80 mm dia pipe,metre,62.40
,15.42.2 100 mm dia pipe,metre,64.30
,15.42.3 150 mm dia pipe,metre,66.20
15.43,Dismantling manually/ by mechanical means including stacking of serviceable material and disposal of unserviceable material within 50 metres lead as per direction of Engineer-in-charge :,,
,15.43.1 Water bound macadam road,sqm,179.65
,15.43.2 bituminous road,sqm,353.65
No.,,,
15.44,"Dismantling G.I. pipes (external work) including excavation and refilling trenches after taking out the pipes, manually/ by mechanical means including stacking of pipes within 50 metres lead as per direction of Engineer-in-charge :",,
,15.44.1 15 mm to 40 mm nominal bore,metre,124.10
,15.44.2 Above 40 mm nominal bore,metre,134.25
15.45,"Dismantling C.I. pipes including excavation and refilling trenches after taking out the pipes, manually/ by mechanical means breaking lead caulked joints, melting of lead and making into blocks including stacking of pipes & lead at site within 50 metre lead as per direction of Engineer-in-charge:",,
,15.45.1 Up to 150 mm diameter,metre,340.70
,15.45.2 Above 150 mm dia up to 300 mm dia,metre,448.15
,15.45.3 Above 300 mm diameter,metre,583.30
15.46,"Dismantling steel cylinder R.C. pipes including excavation and refilling trenches after taking out the pipes, manually/ by mechanical means breaking lead caulked joints, melting of lead and making into blocks including stacking of pipes & lead at site within 50 metres lead as per direction of Engineer-in-charge :",,
,15.46.1 Up to 600 mm diameter,metre,574.85
,15.46.2 Above 600 mm diameter,metre,1447.60
15.47,Dismantling asbestos cement pressure pipes including excavation and refilling trenches after taking out the pipes manually/ by mechanical means and stacking the pipes within 50 metres lead as per direction of Engineer-in-charge :,,
,15.47.1 Up to 150 mm diameter,metre,273.80
,15.47.2 Above 150 mm diameter,metre,332.25
15.48,Taking out C.I. cover with frame from R.C.C. top slab of manholes of various sizes including demolishing of R.C.C. work manually/ by mechanical means and stacking of useful materials near the site and disposal of unserviceable materials within 50 metres lead as per direction of Engineer-in-charge.,each,576.25
15.49,Taking out C.I. cover with frame from R.C.C. top slab of inspection chambers of various sizes including demolishing of R.C.C. work manually/ by mechanical means and stacking of useful materials near the site and disposal of unserviceable materials within 50 metres lead as per direction of Engineer-in-charge.,each,336.25
15.50,"Dismantling of R.C.C. spun vent shaft including excavating the cement concrete pit completely, taking out the shaft, refilling the excavated gap, stacking the useful materials near the site and disposal of unserviceable materials within 50 metres lead.",each,3817.90
No.,,,
15.51,Dismantling of road gully chamber of various sizes including C.I. grating with frame including stacking of useful materials near the site and disposal of unserviceable materials within 50 metres lead including refilling the excavated gap.,each,791.65
15.52,Dismantling of flushing cistern of all types (C.I./PVC/Vitrious China) including stacking of useful materials near the site and disposal of unserviceable materials within 50 metres lead.,each,744.60
15.53,Dismantling of C.I. sluice valve including stacking of useful materials within a lead of 50 metres,,
,15.53.1 Up to 150 mm diameter,each,264.65
,15.53.2 Above 150 mm diameter,each,976.60
15.54,Dismantling of spindle fire hydrant including stacking of useful materials within 50 metres lead.,each,598.05
15.55,Dismantling of cement concrete platform along with curtain walls and base concrete etc. including stacking of useful materials near the site and disposal of unserviceable materials within 50 metres lead :,,
,15.55.1 120 x 120 cm (outside to outside),each,910.15
,15.55.2 210 x 120 cm (outside to outside),each,1396.00
,15.55.3 320 x 120 cm (outside to outside),each,1976.05
15.56,Dismantling old plaster or skirting raking out joints and cleaning the surface for plaster including disposal of rubbish to the dumping ground within 50 metres lead.,sqm,45.05
