Item No.,Description,Unit,Rate,
No.,,,as on or just before 01.04.2021,
0002,Hire charges of Concrete Mixer 0.25 to 0.40 cum with Hopper,day,800.00,
0004,Production cost of concrete by batch mix plant,cum,400.00,
0009,"Pumping charges of concrete including Hire charges of pump, piping work & accessories etc.",cum,210.00,
0011,Hire charges of Pump set of capacity 4000 litres/hour,day,700.00,
0012,Vibrator (Needle type 40 mm),day,350.00,
0025,Hire and running charges of light crane,day,3500.00,
0026,Hire and running charges of bentonite pump,day,3000.00,
0029,Carriage of ready mixed concrete by rotatory transit mixer,km/cum,37.30,
0052,Front end loader 1 cum bucket capacity (incl POL),hour,1300.00,
0066,Batching and Mixing Plant @ 75 cum per hour,hour,2400.00,
0070,Generator 100 KVA/125 KVA,hour,300.00,
0082,Excavation of Diaphragm wall by Mechanical Grab,sqm,1500.00,
0101,Bhisti,day,714.00,
0102,Blacksmith 1st class,day,784.00,
0103,Blacksmith 2nd class,day,714.00,
0112,Carpenter 2nd class,day,714.00,
0114,Beldar,day,645.00,
0115,Coolie,day,645.00,
0116,Fitter (grade 1),day,784.00,
0123,Mason (brick layer) 1st class,day,784.00,
0124,Mason (brick layer) 2nd class,day,714.00,
0126,Mason (for ornamental stone work) 1st class,day,784.00,
0128,Mate,day,714.00,
0131,Painter,day,714.00,
0155*,Mason (average),day,749.00,
0236,Multi purpose fibre reinforced by organic fibres and/or inorganic synthetic fibres cement board 6 mm thick,sqm,210.00,
0242,6 mm thick mulitipurpose cement bonded wood particle board conforming to IS : 14276,sqm,195.00,
0278,Manufactured sand derived from Recycled Concrete Aggregate (RCA),cum,741.00,
0279,Recycled Concrete Aggregate (RCA) 20 mm nominal size,cum,957.00,
0281,Recycled Concrete Aggregate (RCA) 10 mm nominal size,cum,957.00,
0293,Stone Aggregate (Single size) : 40 mm nominal size,cum,1300.00,
No.,,,as on or,
,,,just before 01.04.2021,
0295,Stone Aggregate (Single size) : 20 mm nominal size,cum,1400.00,
0297,Stone Aggregate (Single size) : 10 mm nominal size,cum,1350.00,
0302,Safeda ballies 125 mm diameter,metre,40.00,
0309,Paving bitumen of grade VG-10 of approved quality,tonne,25614.00,
0313,Blown type petroleum bitumen of penetration 85/25 of approved quality,tonne,34790.00,
0314,Bitumen hot sealing compound : grade A,kg,29.00,
0316,Bitumen solution primer of approved quality,litre,47.00,
0339,"Flame retardant face insulating, Impregnated fibre board 12 mm thick",sqm,375.00,
0349,Curing compound,litre,38.00,
0367,Portland Cement (OPC-43 Grade),tonne,5000.00,
0370,Coal (steam),quintal,440.00,
0596,Bright finished or black enameled mild steel butt hinges 75x47x 1.70 mm,10 Nos,56.00,
0639,Bright finished or black enameled mild steel screws 25 mm,100 Nos,40.00,
0768,Cement Concrete Jali 50 mm thick,sqm,400.00,
0769,Cement Concrete Jali 40 mm thick,sqm,350.00,
0770,Cement Concrete Jali 25 mm thick,sqm,275.00,
0967,Copper plate,kg,527.00,
0982,Coarse sand (zone III),cum,1500.00,
0983,Fine sand (zone IV),cum,900.00,
0992,Galvanised steel plain sheets,quintal,5000.00,
1004,Average rate of Mild steel round bars for reinforcement,quintal,4850.00,
1005,Twisted steel/ deformed TMT bars Fe-500D,quintal,4900.00,
1015,Mild steel expanded metal 20x60 mm strands 3.25 mm wide 1.60 mm thick,sqm,280.00,
1021,Hard drawn steel wire fabric 75 x 25 mm mesh of weight not less than 7.75 kg/sqm,sqm,430.00,
1034,Bolts and nuts up to 300 mm in length,quintal,5200.00,
1197,Second class kail wood in scantling,10 cudm,260.00,
1198,Second class kail wood in planks,10 cudm,260.00,
1215,Welding by electric plant,cm,2.00,
1224,Hard drawn steel wire,quintal,4800.00,
1225,Mild steel flat strap fitting,quintal,4120.00,
1980,Fly ash,cum,11.00,
2200,Carriage of Steam coal,tonne,187.35,
2202,Carriage of Stone aggregate below 40 mm nominal size,cum,163.93,
No.,,,as on or just before 01.04.2021,
2203,Carriage of Coarse sand,cum,163.93,
2204,Carriage of Timber,cum,187.35,
2205,Carriage of Steel,tonne,145.72,
2206,Carriage of Stone aggregate 40 mm nominal size and above,cum,178.19,
2209,Carriage of Cement,tonne,145.72,
2211,Carriage of Tar / Bitumen,tonne,163.93,
2261,Carriage of Fine sand (1 part of badarpur sand: 2 parts jamuna sand),cum,163.93,
2262,Carriage of Flyash,cum,163.93,
2273,Carriage of A.C.sheet and accessories,tonne,145.72,
2302,Carriage of G.I. sheet and accessories,tonne,145.72,
2391,Strips-Aluminium fluted 3.15 mm thick and 150 mm wide,metre,286.00,
2392,Strips Aluminium fluted 3.15 mm thick and 200 mm wide,metre,381.00,
2393,1 mm thick Stainless Steel Cover plate grade 304,kg,286.00,
2394,Coupler 16 mm dia,each,31.00,
2395,Coupler 20 mm dia,each,41.00,
2396,Coupler 25 mm dia,each,72.00,
2397,Coupler 28 mm dia,each,83.00,
2398,Coupler 32 mm dia,each,114.00,
2399,Complete Roof Joint of 100 mm,metre,2912.00,
2400,Complete Roof Joint of 150 mm,metre,3328.00,
2401,Complete Roof Joint of 200 mm,metre,4160.00,
2402,Epoxy adhesive,kg,156.00,
2403,Floor Joint of 100 mm,metre,3193.00,
2404,Floor Joint of 150 mm,metre,4120.00,
2405,Floor Joint of 200 mm,metre,5562.00,
2409,Wall Joint of 100 mm,metre,2472.00,
2410,Wall Joint of 150 mm,metre,2884.00,
2411,Wall Joint of 200 mm,metre,3468.00,
2447,Hollock ballies 125 mm diameter,metre,36.00,
7183,Bentonite of 35 kg per pile,tonne,2800.00,
7318,Plasticizer / super plasticizer,kg,29.00,
7319,Wall form panel 1250x500 mm,each,860.00,
7320,Tie bolt 12 mm dia 100 mm length,each,38.00,
7321,Tie bolt 12 mm dia 150 mm length,each,48.00,
7322,Tie bolt 20 mm dia 150 mm length,each,57.00,
7323,Tie bolt 20 mm dia 225 mm length,each,67.00,
_SUB HE_,110 _D : 5.0 REINFORCED CEMENT CONCRETE_,,,
,,01-04-2021 dks ;k mlls Bhd igys,,
0002,gkWIIkj lfgr 0-25 ls 0-40 ?ku ehVj daØhV feDlj dk fdjk;k fnu,800-00,,
0004,cSp feDl IykaV }kjk daØhV dh mRiknu ykxr ?ku eh,400-00,,
0009,"daØhV ds iafiax dk fdjk;k ¼iai dk fdjk;k] ikbi dk;Z vkSj vU; lgk;d lk/kuksa ds fdjk, dks lfEefyr djds½ ?ku eh",210-00,,
0011,4000 yhVj@izfr ?kaVk {kerk okys iai lsV dk fdjk;k fnu,700-00,,
0012,okbZCkzsVj ¼40 feyhehVj lwbZ ds vkdkj dk½ fnu,350-00,,
0025,"gYdh Øsu dk HkkMk ,oa ifjpkyu ykxr fnu",3500-00,,
0026,"csVksukbZV iEi dk HkkMk ,ao ifjpkyu ykxr fnu",3000-00,,
0029,VªkfUtV feDlj ls daØhV dh <qykbZ fdeh@?ku,eh 37-30,,
0052,"ÝaV ,aM yksM+j 1 ?ku eh- cdsV {kerk ¼ih0 vks0 ,y½ lfgr ?kaVk",1300-00,,
0066,cSfpax vkSj fefDlax la;Rkz@75 ?ku eh izfr /kaVk ?kaVk,2400-00,,
0070,100 fdyksokV@125 fdyksokV dk tfuRkz ?kaVk,300-00,,
0082,"eSdsfudy xzsc }kjk Mk;Ýke oky ds fy, [kqnkbZ oxZ eh-",1500-00,,
0101,fHk”rh fnu,714-00,,
0102,Ykqgkj igyh Js.kh dk fnu,784-00,,
0103,Ykqgkj nwljh Js.kh dk fnu,714-00,,
0112,c<+bZ nwljh Js.kh dk fnu,714-00,,
0114,csynkj fnu,645-00,,
0115,dqyh fnu,645-00,,
0116,fQVj ¼xzsM 1½ fnu,784-00,,
0123,jkt ¼bZaV fcNkus okyk½ izFke Js.kh fnu,784-00,,
0124,jkt ¼bZaV fcNkus okyk½ f}rh; Js.kh fnu,714-00,,
0126,"izFke Jzs.kh dk jkt ¼ltkoVh iRFkj ds dke ds fy,½ fnu",784-00,,
0128,esV fnu,714-00,,
0131,jaxlkt fnu,714-00,,
0155,jkt ¼vkSlr½ fnu,749-00,,
0236,"ukWu ,WlcslVkWl dk 6 feeh eksVk cgqmn~s”kh; Qkbcj lhesaV dk cksMZ ¼izofyr mPp çHkko okyk ikWfy izksi ysu½ oxZ eh",210-00,,
0242,6 fe-eh- eksVk- eYVhijit lhesUV ck¡UMsZM ikVhZdy cksMZ Hkk-ek- 14276 ds vuq:i oxZ eh,195-00,,
0278,"iquuZohuh—r daØhV jksM+h ¼vkjlh,½ ls çkIr fofuÆer jsr ?ku eh-",741-00,,
0279,"iquuZohuh—r daØhV jksM+h ¼vkjlh,½ 20 feeh U;woure vkdkj ?ku eh-",957-00,,
0281,"iquuZohuh—r daØhV jksM+h ¼vkjlh,½ 10 feeh U;woure vkdkj ?ku eh-",957-00,,
0293,"iRFkj feykok ¼,dy uki okyk½ % 40 feeh ukeh; uki okyk ?ku eh",1300-00,,
,,,01-04-2021,
,,,dks ;k mlls Bhd igys,
0295,"iRFkj feykok ¼,dy uki okyk½ % 20 feeh ukeh; uki okyk",?ku eh,1400-00,
0297,"iRFkj feykok ¼,dy uki okyk½ % 10 feeh ukeh; uki okyk",?ku eh,1350-00,
0302,125 feeh O;kl okyh lQsnk dh cfy;kWa,ehVj,40-00,
0309,vuqeksfnr dksfV dk Q”kZ canh okyk oh th& 10 xzsM dk,Vu,25614-00,
0313,vuqeksfnr dksfV dk 85@25 izos”;rkokyk QWwadk gqvk isVªksfy;e fcVwesu,Vu,34790-00,
0314,"fcVwesu xeZ tylg ;kSfxd % ^,* dksfV",fd xzk,29-00,
0316,vuqeksfnr dksfV dk fcVwesu ?kksy vLrj,yhVj,47-00,
0339,Tokyk jks/kh lrg okyk folaokgd] lalfDr js”kk Qyd 12 feeh eksVk,oxZ eh,375-00,
0349,rjkbZ dk dEikm.M,yhVj,38-00,
0367,iksVZySUM lhesaV,Vu,5000-00,
0370,dks;yk ¼Hkki½,fDoaVy,440-00,
0596,"uje bLikr ds lVs dCts pednkj ;k dkys ,us ey;qDr 75x47x 1-70 feeh",10 ux,56-00,
0639,"pednkj ;k dkys ,Wukey;qDr 25 feeh uki ds gYds bLikrh; isp",100 ux,40-00,
0768,50 feeh uki dh lhesaV&daØhV tkyh,oxZ eh,400-00,
0769,40 feeh uki dh lhesaV&daØhV tkyh,oxZ eh,350-00,
0770,25 feeh uki dh lhesaV&daØhV tkyh,oxZ eh,275-00,
0967,rkacs dh pknj,fd0xkz0,527-00,
0982,eksVh jsr ¼{ks= 3½,?ku eh,1500-00,
0983,eghu jsr ¼{ks= 4½,?ku eh,900-00,
0992,tLrh bLikr dh lknh pknjsa,fDoaVy,5000-00,
1004,"izcyu ds fy, uje bLikr ds xksy lfj;ksa dh vkSlr nj",fDoaVy,4850-00,
1005,",saBk bLikr@fod”r NMsa+",fDoaVy,4900-00,
1015,uje bLikr dh 20x60 feeh Nsnksa okyh cjQh&tkyh,oxZ eh,280-00,
1021,dBksj df’kZr bLikr dh rkj&tkyh,oxZ eh,430-00,
1034,dkcys vkSj f<cfj;kWa 300 feeh rd yEcs,fDoaVy,5200-00,
1197,nwljh Js.kh dh dSy dh ydM+h ds dM+h&cRrs,10 ?ku Mslh,eh 260-00,
1198,nwljh Js.kh dh dSy dh ydM+h ds r[rs,10 ?ku Mslh,eh 260-00,
1215,>ykbZ fo/kqr IykaV ls,ls0eh,2-00,
1224,dBksj df’kZr bLikr dh rkj,fDoaVy,4800-00,
1225,uje bLikr dh piVh iRrh dh tqM+ukjsa,fDoaVy,4120-00,
1980,mMu jk[k,?ku eh,11-00,
2200,Hkki ds dks;ys dh <qykbZ,Vu,187-35,
2202,40 feeh ukeh; ukiokys iRFkj ds feykos dh <qykbZ,?ku eh,163-93,
,,,01-04-2021 dks ;k mlls Bhd igys,
2203,eksVh jsr dh <qykbZ,?ku eh,163-93,
2204,ydM+h dh <qykbZ,?ku eh,187-35,
2205,bLikr dh <qykbZ,Vu,145-72,
2206,40 fe-eh- ukeh; vkdkj ls Åij dk iRFkj feykok <qykbZ,?ku eh,178-19,
2209,lhesaV dh <qykbZ,Vu,145-72,
2211,Vkj&fcVwesu dh <qykbZ,Vu,163-93,
2261,eghu jsr dh <qykbZ ¼1 Hkkx cnjiqj % 2 Hkkx tequk jsr½,?ku eh,163-93,
2262,mM+u jk[k dh <qykbZ,?ku eh,163-93,
2273,",WlcslVkWl dh pknj vkSj milk/kuksa dh <qykbZ",Vu,145-72,
2302,tLrh yksgs dh pknj vkSj milk/kuksa dh <qykbZ,Vu,145-72,
2391,",WY;wfefu;e dh /kkjhnkj 3-15 feeh eksVh vkSj 150 pkSM+h ifRr;kWa",ehVj,286-00,
2392,",WY;wfefu;e dh /kkjhnkj 3-15 feeh eksVh vkSj 200 pkSM+h ifRr;kWa",ehVj,381-00,
2393,1 feeh eksVk LVsuysl bLikr <Ddu IysV xzsM 304,fd-xzk,286-00,
2394,ueZ bLikr ;qXed 16 feeh O;kl,izR;sd,31-00,
2395,ueZ bLikr ;qXed 20 feeh O;kl,izR;sd,41-00,
2396,ueZ bLikr ;qXed 25 feeh O;kl,izR;sd,72-00,
2397,ueZ bLikr ;qXed 28 feeh O;kl,izR;sd,83-00,
2398,ueZ bLikr ;qXed 32 feeh O;kl,izR;sd,114-00,
2399,100 feeh iw.kZ :Q TokbaV,ehVj,2912-00,
2400,150 feeh iw.kZ :Q TokbaV,ehVj,3228-00,
2401,200 feeh iw.kZ :Q TokbaV,ehVj,4160-00,
2402,",ikDlh v/ksflo",fd-xzk-,156-00,
2403,100 feeh ¶yksj TokbaV,ehVj,3193-00,
2404,150 feeh ¶yksj TokbaV,ehVj,4120-00,
2405,200 feeh ¶yksj TokbaV,ehVj,5562-00,
2409,100 feeh oky TokbaV,ehVj,2472-00,
2410,150 feeh oky TokbaV,ehVj,2284-00,
2411,200 feeh oky TokbaV,ehVj,3468-00,
2447,125 feeh O;kl dh gkyksd cfYy;kWa,ehVj,36-00,
7183,csUVksukbV,Vu,2800-00,
7318,lq?kV~;dkjh@vfr lq?kV~;dkjh,fd-xzk,29-00,
7319,nhokj <kWapk fnYgs 1250x500 feeh,izR;sd,860-00,
7320,ca/ku dkcyk 12 feeh O;kl 100 feeh yEck,izR;sd,38-00,
7321,ca/ku dkcyk 12 feeh O;kl 150 feeh yEck,izR;sd,48-00,
7322,ca/ku dkcyk 20 feeh O;kl 150 feeh yEck,izR;sd,57-00,
7323,ca/ku dkcyk 20 feeh O;kl 225 feeh yEck,izR;sd,67-00,
7324,Spring coil 12 mm,each,15.00,
7325,Plastic cone 12 mm dia,each,15.00,
7326,Corner angle 45x45x5 mm 1.50 m long,each,240.00,
7327,100 mm channel shoulder 2.5 m long,each,910.00,
7328,Double clip (bridge clip),each,76.00,
7329,Single clip,each,59.00,
7330,M.S. tube 40 mm dia,metre,215.00,
7331,Wall form panel 1250x450 mm,each,860.00,
7332,Corner angle 45x45x5 mm 2.50 m long,each,255.00,
7333,Column clamp 450x1070 mm,each,965.00,
7334,Prop 2 m ( 2-3.5 m),each,635.00,
7342,Adjustable span ESO+SI (2.35-3.40),each,1480.00,
7343,Adjustable telescopic prop 3 m (2.02-3.75 m),each,955.00,
7344,Beam clamp 300-380 mm (450-1070 mm),each set,355.00,
7345,Prop 4 m,each,910.00,
7346,Double coupler,each,46.00,
8647,Stainless steel screws 30 mm x4 mm,100 Nos,35.84,
8659,Water proof ply 12 mm thick,sqm,525.00,
8953,Micro Silica,kg,28.00,
8954,Stop end tubes for diaphragmwall 600 mm dia.,sqm,4.50,
8955,Driving end tubes for diaphragm wall 600 mm dia.,sqm,72.00,
9977,Carriage,L.S.,2.12,
9988,Carriage and sundries,L.S.,2.12,
9999,Sundries,L.S.,2.12,
7324,dekuh dqUMyh 12 feeh,izR;sd,15-00,
7325,IykfLVd “kadq 12 feeh O;kl,izR;sd,15-00,
7326,dksfu;k dks.k 45x45x5 feeh 1-50 eh yEck,izR;sd,240-00,
7327,100 feeh pSuy iVjh 2-5 eh yEch,izR;sd,910-00,
7328,nksgjh fDyi ¼lsrq fDyi½,izR;sd,76-00,
7329,",dy fDyi",izR;sd,59-00,
7330,uje bLikr uyh 40 feeh O;kl,ehVj,215-00,
7331,nhokj <kapk fnYgs 1250x450 feeh,izR;sd,860-00,
7332,dksfu;k dks.k 45x45x5 feeh 2-50 eh yEck,izR;sd,255-00,
7333,LrEHk f”kadtk 450x1070 eh,izR;sd,965-00,
7334,izkWi 2 eh ¼2&3-5 eh½,izR;sd,635-00,
7342,"lek;ksT; ikV bZ ,l vks + ,l vkbZ ¼2-35&3-40½",izR;sd,1480.00,
7343,Lkek;ksT; VsyhLdksfid izkWi 3 eh ¼2-02&3-75 eh½,izR;sd,955.00,
7344,/kju f”kdatk 300&380 feeh ¼450&1070 feeh½,izR;sd lSV,355.00,
7345,izkWi 4 eh,izR;sd,910-00,
7346,f}&;qXed,izR;sd,46-00,
8647,taxjks/kd bLikr ds isap 30x4 feeh,100 ux,35-84,
8659,tyjks/kd IykbZ 12 feeh eksVh,oxZ eh,525-00,
8953,ekbØks flfydk,fd-xzk,28-00,
8954,"600 feeh O;kl dh Mk;Ýke oky ds fy, LVki baM V~;wcsa",oxZ eh-,4-50,
8955,"600 feeh O;kl dh Mk;Ýke oky ds fy, Mªkbfoax baM V~;wcsa",oxZ eh-,72-00,
9977,<qykbZ,",deq”r",2-12,
9988,"<qykbZ ,oa fofo/k",",deq”r",2-12,
9999,fofo/k,",deq”r",2-12,
,No.,,,
,CAST I N SITU,,,
5.1,"Providin concret reinforc g and laying in position specified grade of reinforced cement e, excluding the cost of centering, shuttering, finishing and ement - All work up to plinth level :",,,
5.1.2,1:1.5:3 (1 cement : 1.5 coarse sand (zone-III) derived from natural sources : 3 graded stone aggregate 20 mm nominal size de rived from natural sources),cum,8364.20,
,5.1.2A 1:1.5:3 (1 cement : 1.5 coarse sand(zone-III) incuding manu- factured sand derived from Recycled Concrete Aggregate (RCA) upto 20% : 3 graded stone aggregate 20 mm nominal size of Recycled Concrete Aggregate (RCA) upto 20%.,cum,8180.85,
5.1.3,1:2:4 (1 cement : 2 coarse sand (zone-III) derived from natural sources : 4 graded stone aggregate 20 mm nominal size de rived from natural sources),cum,7945.65,
,5.1.3A 1:2:4 (1 cement : 2 coarse sand incuding manufactured sand derived from Recycled Concrete Aggregate (RCA) upto 20% : 4 graded stone aggregate 20 mm nominal size of Recycled Con crete Aggregate (RCA) upto 20%).,cum,7752.70,
5.2,"Reinforc attache pillars, floor fiv reinforc ed cement concrete work in walls (any thickness), including d pilasters, buttresses, plinth and string courses, fillets, columns, piers, abutments, posts and struts etc. above plinth level up to e level, excluding cost of centering, shuttering, finishing and ement :",,,
5.2.2,1:1.5:3 (1 cement : 1.5 coarse sand(zone-III) derived from natu- ral sources : 3 graded stone aggregate 20 mm nominal size derived from natural sources),cum,10185.05,
,5.2.2A 1:1.5:3 (1 cement : 1.5 coarse sand incuding manufactured sand derived from Recycled Concrete Aggregate (RCA) upto 20% : 3 graded stone aggregate 20 mm nominal size Recycled Concrete Aggregate (RCA) upto 20%,cum,10001.70,
5.3,"Reinforc having bands, level up finishin sand(zo 20 mm ed cement concrete work in beams, suspended floors, roofs slope up to 15° landings, balconies, shelves, chajjas, lintels, plain window sills, staircases and spiral stair cases above plinth to floor five level, excluding the cost of centering, shuttering, g and reinforcement with 1:1.5:3 (1 cement : 1.5 coarse ne-III) derived from natural sources : 3 graded stone aggregate nominal size derived from natural sources).",cum,10719.30,
,"5.3A Reinforc having bands, level up finishin ed cement concrete work in beams, suspended floors, roofs slope up to 15° landings, balconies, shelves, chajjas, lintels, plain window sills, staircases and spiral staircases above plinth to floor five level excluding the cost of centering, shuttering, g and reinforcement, with 1:1.5:3 (1 cement : 1.5 coarse sand",,,
,No.,,,
5.8,"Reinforc or formi floor fiv reinforc from na derived ed cement concrete work in vertical and horizontal fins individually ng box louvers, facias and eaves boards above plinth level up to e level, excluding the cost of centering, shuttering, finishing and ement with 1:1.5:3 (1 cement : 1.5 coarse sand(zone-III) derived tural sources : 3 graded stone aggregate 20mm nominal size from natural sources).",cum,9297.70,
,"5.8A Reinforc or formi floor fiv reinforc manufa upto 20 Concre ed cement concrete work in vertical and horizontal fins individually ng box louvers, facias and eaves boards above plinth level up to e level excluding the cost of centering, shuttering, finishing and ement, with 1:1.5:3 (1 cement : 1.5 coarse sand incuding ctured sand derived from Recycled Concrete Aggregate (RCA) % : 3 graded stone aggregate 20 mm nominal size Recycled te Aggregate (RCA) upto 20%).",cum,9114.35,
,FORM WORK,,,
5.9,"Centeri of form ng and shuttering including strutting, propping etc. and removal for",,,
5.9.1,"Foundations, footings, bases of columns, etc. for mass concrete",sqm,307.95,
5.9.2,"Walls (any thickness) including attached pilasters, butteresses, plinth and string courses etc.",sqm,669.55,
5.9.3,"Suspended floors, roofs, landings, balconies and access platform",sqm,766.55,
5.9.4,Shelves (Cast in situ),sqm,766.55,
5.9.5,"Lintels, beams, plinth beams, girders, bressumers and cantilevers",sqm,608.35,
5.9.6,"Columns, Pillars, Piers, Abutments, Posts and Struts",sqm,804.25,
5.9.7,"Stairs, (excluding landings) except spiral-staircases",sqm,657.75,
5.9.8,Spiral staircases (including landing),sqm,652.80,
5.9.9,"Arches, domes, vaults up to 6 m span",sqm,1826.25,
5.9.10,"Extra for arches, domes, vaults exceeding 6 m span",sqm,575.25,
5.9.11,Chimneys and shafts,sqm,669.55,
5.9.12,Well steining,sqm,246.40,
5.9.13,"Vertical and horizontal fins individually or forming box louvers band, facias and eaves boards",sqm,1100.40,
5.9.14,Extra for shuttering in circular work (20% of respective centering and shuttering items),sqm,20%,
5.9.15,"Small lintels not exceeding 1.5 m clear span, moulding as in cornices, window sills, string courses, bands, copings, bed plates, anchor blocks and the like",sqm,307.95,
5.9.16,Edges of slabs and breaks in floors and walls,,,
5.9.16.1,Under 20 cm wide,metre,181.90,
5.9.16.2,Above 20 cm wide,sqm,772.10,
,No.,,,
0.1,m and less tha for placing reinforc conditions. n 0.05 m ignored. No extra payment shall be made ement or centering & shuttering under sub - soil water,,,
5.32,Extra for laying rei DESIGN MIX CON nforced cement concrete in or under foul conditions. CRETE,cum,385.25,
5.33,"Providing and la design mix ceme using coarse ag sources, Portlan cement, admixtu to accelerate / r and workability of concrete to si excluding the reinforcement as following grades ying in position ready mixed or site batched nt concrete for reinforced cement concrete work; gregate and fine aggregate derived from natural d Pozzolana / Ordinary Portland /Portland Slag res in recommended proportions as per IS: 9103 etard setting of concrete, to improve durability without impairing strength; including pumping te of laying, curing, carriage for all leads; but cost of centering, shuttering, finishing and per direction of the engineer-in-charge; for the of concrete.",,,
,"Note: Extra ceme content in desig cement content specified minim discretion to eit cement. nt up to 10% of the minimum specified cement n mix shall be payable separately. In case the in design mix is more than 1.10 times of the um cement content, the contractor shall have her re-design the mix or bear the cost of extra",,,
5.33.1,All works upto plinth level,,,
5.33.1.1,Concrete of M25 grade with minimum cement content of 330 kg /cum,cum,8683.80,
5.33.1.2,Concrete of M30 grade with minimum cement content of 350 kg /cum,cum,8825.35,
5.33.1.3,Concrete of M35 grade with minimum cement content of 370 kg /cum,cum,8966.95,
5.33.1.4,Concrete of M40 grade with minimum cement content of 390 kg/cum,cum,9108.50,
5.33.1.5,Concrete of M50 grade with minimum cement content of 410 kg/cum,cum,9250.10,
5.33.2,All works above plinth level upto floor V level,,,
5.33.2.1,Concrete of M25 grade with minimum cement content of 330 kg /cum,cum,10306.20,
5.33.2.2,Concrete of M30 grade with minimum cement content of 350 kg /cum,cum,10477.75,
5.33.2.3,Concrete of M35 grade with minimum cement content of 370 kg /cum,cum,10589.35,
5.33.2.4,Concrete of M40 grade with minimum cement content of 390 kg /cum,cum,10730.90,
5.33.2.5,Concrete of M50 grade with minimum cement,,,
,content of 410 kg /cum,cum,10872.50,
5-1,fof”k’V dksfV ds izcfyr lheasV dadzhV miyC/k djkuk vkSj mls Bhd izdkj ls fcNkuk] <wyk] r[rkcanh lEiwfrZ vkSj izcyu bLikr dh ykxr ds vfrfjDr dqlhZ ry rd ds lHkh dk;Z,,,
